Name,card_title,Description,Data Model,Query Interface,System Architecture,Website,Source Code,Tech Docs,Developer,Country of Origin,Start Year,End Year,Project Type,Written in,Supported languages,Embeds / Uses,Licenses,Operating Systems,Data_Model_mapping,has_github_repo,github_repo_link,org_name,repo_name,open_source_license
mentat,Mentat,"Project Mentat is a persistent, embedded knowledge base written in Rust.",Relational,,,https://mozilla.github.io/mentat/,https://github.com/mozilla/mentat,https://github.com/mozilla/mentat/wiki,Mozilla,US,2016,,Open Source,Rust,,SQLite,Apache v2,,Relational,Y,mozilla/mentat,mozilla,mentat,Y
metalbase,MetalBase,"MetalBase is a small relational database management system. It has all the pieces that a relational database should have from the early 1990s: C interface, curses interface, and a report writer.",Relational,,Shared-Everything,,https://github.com/apavlo/metalbase,,Richard P Jernigan IV,US,,1994,Open Source,C,C,,,Linux,Relational,Y,apavlo/metalbase,apavlo,metalbase,Y
milvus,Milvus,Milvus is a vector DBMS design to to store vectors generated by machine learning models and neural networks.,Vector,Custom API,,https://milvus.io/,https://github.com/milvus-io/milvus,https://milvus.io/docs/,The Milvus Project,CN,2019,,Open Source,Go,Python,RocksDB,Apache v2,Linux,Vector,Y,milvus-io/milvus,milvus-io,milvus,Y
mimir,Mimir,Mimir is an open-source time0series database to provide long-term storage for Prometheus.,Relational,"HTTP / REST,PromQL",Shared-Disk,https://grafana.com/oss/mimir/,https://github.com/grafana/mimir,https://grafana.com/docs/mimir/latest/,Grafana Labs,GB,2016,,"Commercial,Open Source",Go,,,AGPL v3,Linux,Relational,Y,grafana/mimir,grafana,mimir,Y
mldb,MLDB,MLDB is an open-source database designed for machine learning.,,"SQL,HTTP / REST",,https://mldb.ai/,https://github.com/mldbai/mldb,https://docs.mldb.ai/doc/#builtin/Overview.md.html,MLDB.ai,CA,2015,,"Commercial,Open Source",C++,,,Apache v2,,,Y,mldbai/mldb,mldbai,mldb,Y
mnesia,Mnesia,Mnesia is a distributed relational DBMS written in the Erlang.,Relational,Custom API,Shared-Nothing,http://www.erlang.org/doc/man/mnesia.html,https://github.com/erlang-labs/mnesia,http://erlang.org/doc/apps/mnesia/,Ericsson,FI,,,Open Source,Erlang,,,,,Relational,Y,erlang-labs/mnesia,erlang-labs,mnesia,Y
modeshape,ModeShape,"ModeShape is a hierarchical, transactional, and consistent data store with support for queries, full-text search, events, versioning, references, and dynamic schemas.",Object-Oriented,"Custom API,SQL,HTTP / REST",,http://modeshape.jboss.org/,https://github.com/ModeShape/modeshape,https://docs.jboss.org/author/display/MODE50/,Red Hat,US,2008,,"Commercial,Open Source",Java,Java,,Apache v2,All OS with Java VM,Object oriented,Y,ModeShape/modeshape,ModeShape,modeshape,Y
mondrian,Mondrian,Mondrian is an OLAP query execution engine written in Java.,Relational,,,https://mondrian.pentaho.com/,https://github.com/pentaho/mondrian,https://mondrian.pentaho.com/documentation/,Pentaho,US,2002,,"Commercial,Open Source",Java,,,Eclipse Public License,,Relational,Y,pentaho/mondrian,pentaho,mondrian,Y
monetdb,MonetDB,,Column Family / Wide-Column,SQL,,https://www.monetdb.org/,https://github.com/MonetDB/MonetDB,https://www.monetdb.org/Documentation,CWI,NL,2002,,"Academic,Open Source",C,"Java,JavaScript,Perl,PHP,Python,R,Ruby",,Mozilla Public License,"Linux,OS X,Windows",Wide column,Y,MonetDB/MonetDB,MonetDB,MonetDB,Y
mongodb,MongoDB,"MongoDB is an open-source, cross-platform document-oriented DBMS store. It is a document database storing strongly typed objects with optional levels of schema validation. Ad hoc queries, indexing, and real time aggregation provide different ways to access and analyze the data. It is a distributed database at its core that provides high availability, horizontal scaling, and geographic distribution.",Document / XML,Custom API,Shared-Nothing,https://www.mongodb.com/,https://github.com/mongodb/mongo,https://docs.mongodb.com/,MongoDB Inc.,US,2009,,"Commercial,Open Source","C++,JavaScript,Python","C,C#,C++,Delphi,Elixir,Erlang,Go,Haskell,Java,JavaScript,Julia,Lisp,Lua,Matlab,Perl,PHP,Python,R,Ruby,Rust,Scala,Swift,TypeScript",WiredTiger,Server Side Public License,"Linux,OS X,Windows",Document,Y,mongodb/mongo,mongodb,mongo,Y
mulgara,Mulgara,Mulgara is a RDF DBMS written entirely in Java,Triplestore / RDF,SPARQL,,http://www.mulgara.org/,https://github.com/quoll/mulgara,http://mulgara.org/documentation.html,,US,2006,,Open Source,Java,,,Open Software License 3.0,,RDF,Y,quoll/mulgara,quoll,mulgara,Y
mutable,mutable,mutable is an academic DBMS designed to support rapid prototyping of research ideas while also maintaining performance that is competitive with state-of-the-art systems.,,,,https://bigdata.uni-saarland.de/projects/mutable,,,Saarland University,DE,2019,,"Academic,Open Source",,,,,,,,,,,
myscaledb,MyScaleDB,MyScaleDB is a hard-fork of Clickhouse that adds vector search and full-text indexing using Tantivy.,Relational,SQL,Shared-Everything,https://myscale.com/,https://github.com/myscale/MyScaleDB,https://myscale.com/docs/,Moqi Technology,CN,2021,,"Commercial,Open Source",C++,,Tantivy,Apache v2,"Hosted,Linux",Relational,Y,myscale/MyScaleDB,myscale,MyScaleDB,Y
mysql,MySQL,"MySQL is an open-source relational database management system. MySQL is used in many web applications and websites, and there are several commercial databases that are compatible with it. Users interact with the database through SQL. The default version of MySQL uses InnoDB as a storage engine. However, the MySQL storage engine architecture is pluggable, allowing for a specialized storage engine to be used. MySQL has been actively updated and supported since 1995, with new versions being released every 1-3 years. Several MySQL forks exist, most notably MariaDB, which is led by the original MySQL developers. Oracle, which acquired MySQL in 2010, offers several paid editions of the DBMS that offer additional features.",Relational,SQL,Shared-Everything,https://www.mysql.com,https://github.com/mysql/mysql-server,https://dev.mysql.com/doc/,MySQL AB,SE,1994,,Open Source,"C,C++",,,GPL v2,"BSD,Linux,OS X,Windows",Relational,Y,mysql/mysql-server,mysql,mysql-server,Y
nanolat,Nanolat,"Nanolat is an in-memory key/value store that supports,PUT,/,GET,/,DEL,and range search on cursors.",Key/Value,,,http://nanolat.com/index/0-2,https://github.com/Nanolat/nldb,,,KR,2012,2014,Open Source,,,LevelDB,Apache v2,,Key-value,Y,Nanolat/nldb,Nanolat,nldb,Y
ncache,NCache,NCache is a distributed cache for .NET and Java. It is an open source product released under the Apache 2.0 license.,Key/Value,SQL,Shared-Everything,https://www.alachisoft.com/ncache/,https://github.com/Alachisoft/NCache/,https://www.alachisoft.com/resources/docs/,Alachisoft,US,2015,,"Commercial,Open Source",,,,"Apache v2,Proprietary","Hosted,Linux,Windows",Key-value,Y,Alachisoft/NCache,Alachisoft,NCache,Y
ndatabase,NDatabase,NDatabase is a object-oriented DBMS written in C# for the .NET environment.,Object-Oriented,Custom API,Embedded,http://ndatabase.net,https://archive.codeplex.com/?p=ndatabase,,Jacek Spólnik,PL,,2014,"Commercial,Open Source",C#,C#,,LGPL v2,Windows,Object oriented,,,,,Y
ndb-cluster,NDB Cluster,NDB Cluster is a distributed DBMS that backs the MySQL Cluster product. It can be used independently of a MySQL via a C++ API.,Key/Value,Custom API,Shared-Nothing,,https://dev.mysql.com/downloads/cluster/,https://dev.mysql.com/doc/refman/8.0/en/mysql-cluster.html,Oracle,SE,,,"Commercial,Open Source",C++,C++,,GPL v2,,Key-value,,,,,Y
nebula-graph,Nebula Graph,Nebula Graph is an open source distributed graph database system developed by VEsoft Inc. The goal of Nebula Graph is to serve as a graph database solution that is for both OLTP (Online Transaction Processing) and OLAP (Online Analytical Processing) business scenarios.,Graph,Custom API,Shared-Nothing,https://nebula-graph.io/,https://github.com/vesoft-inc/nebula,https://docs.nebula-graph.io/,VEsoft inc.,CN,2018,,Open Source,C++,C++,,Apache v2,Linux,Graph,Y,vesoft-inc/nebula,vesoft-inc,nebula,Y
nedb,NeDB,"NeDB is a lightweight embedded document DBMS written in JavaScript. It supports Node.js, nw.js, Electron, and web browser environments. It is designed to be partially compatible with MongoDB's JSON-based query API. NeDB is useful for storing small amounts of data in memory. When the amount of data exceeds the bounds of what NeDB can hold effectively, switching to MongoDB is intended to be straightforward because it uses the same API.",Document / XML,Custom API,Embedded,https://github.com/louischatriot/nedb,https://github.com/louischatriot/nedb,https://github.com/louischatriot/nedb/wiki,Louis Chatriot,FR,2013,2017,Open Source,JavaScript,JavaScript,,MIT,,Document,Y,louischatriot/nedb,louischatriot,nedb,Y
neo,NEO,"NEO (""Nexedi Enterprise Object"") is a distributed NoSQL DBMS that implements the ZODB API.",Document / XML,Custom API,Shared-Nothing,https://neo.nexedi.com/,https://lab.nexedi.com/nexedi/neoppod,,Nexedi,FR,2005,,"Commercial,Open Source",Python,,MySQL,GPL v3,Linux,Document,,,,,Y
neo4j,Neo4j,Neo4j is a graph database that leverages data relationships as first-class entities. It provides ACID Transactions with online backups and high availability.,Graph,Cypher,Shared-Nothing,https://neo4j.com/,https://github.com/neo4j/neo4j,https://neo4j.com/docs/,"Neo Technology, Inc.",SE,2007,,"Commercial,Open Source","Java,Scala","Java,Scala",,"AGPL v3,GPL v3","All OS with Java VM,Linux,Windows",Graph,Y,neo4j/neo4j,neo4j,neo4j,Y
neodatis-odb,NeoDatis ODB,NeoDatis ODB is a simple object-oriented DBMS.,Object-Oriented,Custom API,,http://neodatis.wikidot.com,https://sourceforge.net/projects/neodatis-odb/,https://sourceforge.net/projects/neodatis-odb/files/,NeoDatis,BR,2006,2017,Open Source,Java,Java,,GPL v2,All OS with Java VM,Object oriented,,,,,Y
neon,Neon,Neon is a serverless PostgreSQL service that separates storage and compute.,Object-Relational,"SQL,PL/SQL,HTTP / REST",Shared-Disk,https://neon.tech/,https://github.com/neondatabase/neon,https://neon.tech/docs/,Neon,US,2021,,"Commercial,Open Source","C,Rust",,,"Apache v2,PostgreSQL License","Hosted,Linux","Object oriented,Relational",Y,neondatabase/neon,neondatabase,neon,Y
nessdb,nessDB,"nessDB is an embedded key-value DBMS written in ANSI C with BSD license. It does not require any external dependencies and works in most POSIX systems. As for storage engine, nessDB used LSM-tree (Log-Structured Merge Tree) in v1.8, B-epsilon-tree in v2.0. nessDB also used fractional cascading to speed up the query.",Key/Value,Custom API,Embedded,https://github.com/BohuTANG/nessDB,https://github.com/BohuTANG/nessDB,https://github.com/BohuTANG/nessDB/wiki,Bohu Tang,CN,2011,2016,Open Source,C,"C,C++,Java,Lua,Python",,BSD,"BSD,Linux",Key-value,Y,BohuTANG/nessDB,BohuTANG,nessDB,Y
nitrite,Nitrite,"Nitrite is a NoSQL embedded document store written in Java. The name is derived from,NO,sql,O,bject (NO2 is the chemical notation of ""nitrite""). It supports both in-memory and file-based storage using the H2 database.",Document / XML,Custom API,Embedded,https://www.dizitart.org/nitrite-database.html,https://github.com/dizitart/nitrite-database,https://www.dizitart.org/nitrite-database/,Anindya Chatterjee,IN,2017,,"Hobby,Open Source",Java,Kotlin,,Apache v2,,Document,Y,dizitart/nitrite-database,dizitart,nitrite-database,Y
noisepage,NoisePage,"NoisePage is an in-memory relational DBMS designed to support self-driving (i.e., autonomous) operation. It is developed by the,Carnegie Mellon Database Group,.",Relational,SQL,Shared-Everything,https://noise.page/,https://github.com/cmu-db/noisepage,https://github.com/cmu-db/noisepage/tree/master/docs,Carnegie Mellon University,US,2018,,"Academic,Open Source",C++,,,MIT,"Linux,OS X",Relational,Y,cmu-db/noisepage,cmu-db,noisepage,Y
noms,Noms,Noms is a decentralized DBMS that follows the same philosophy of the Git version control system.,Document / XML,,,https://github.com/attic-labs/noms,https://github.com/attic-labs/noms,https://github.com/attic-labs/noms/blob/master/doc/intro.md,Attic Labs,US,2015,2021,Open Source,Go,,,Apache v2,,Document,Y,attic-labs/noms,attic-labs,noms,Y
nosdb,NosDB,NosDB is an NoSQL DBMS for .NET applications.,Document / XML,"Custom API,HTTP / REST",,http://www.alachisoft.com/nosdb/,https://github.com/Alachisoft/NosDB,https://www.alachisoft.com/resources/docs/#nosdb,Alachisoft,US,2013,2016,"Commercial,Open Source",C#,C#,LMDB,Apache v2,Windows,Document,Y,Alachisoft/NosDB,Alachisoft,NosDB,Y
nucliadb,NucliaDB,NucliaDB is a vector database.,Vector,"Custom API,HTTP / REST",,https://nuclia.com,https://github.com/nuclia/nucliadb,https://docs.nuclia.dev,Bosutech XXI S.L.,ES,2021,,"Commercial,Open Source","Python,Rust",,LMDB,AGPL v3,,Vector,Y,nuclia/nucliadb,nuclia,nucliadb,Y
nudb,NuDB,NuDB is an append-only key/value DBMS written in C++11 as a single header file. It is designed to operate efficiently on SSD devices.,Key/Value,Custom API,Embedded,https://github.com/vinniefalco/NuDB,https://github.com/vinniefalco/NuDB,http://vinniefalco.github.io/nudb/,Vinnie Falco,US,2016,,Open Source,C++,C++,,Boost Software License,,Key-value,Y,vinniefalco/NuDB,vinniefalco,NuDB,Y
nundb,NunDB,NunDB is a object-oriented DBMS designed to support real-time update propagation to clients.,Object-Oriented,Custom API,Shared-Everything,https://github.com/mateusfreira/nun-db,https://github.com/mateusfreira/nun-db,,Mateus Freira,BR,2018,,"Hobby,Open Source",Rust,TypeScript,,MIT,,Object oriented,Y,mateusfreira/nun-db,mateusfreira,nun-db,Y
nutsdb,NutsDB,"NutsDB is a transactional key/value store database written in Go. All transactions executed in NutsDB are fully serializable. Transactions are categorized into types based on their level of access. In other words, there are read-only and read-write transactions. Multiple read-only transactions are allowed at the same time, and they could, of course, read values from a bucket using a key or traverse the buckets to find a range of key-value pairs. However, only one read-write transaction is allowed at the same time and it could read, update and delete from the data storage. The DBMS supports different data structures, such as list, set and sorted set.",Key/Value,Custom API,,https://xujiajun.cn/nutsdb/,https://github.com/xujiajun/nutsdb,https://xujiajun.cn/nutsdb/,Jiajun Xu,CN,2018,,Open Source,Go,Go,,Apache v2,"Linux,OS X,Windows",Key-value,Y,xujiajun/nutsdb,xujiajun,nutsdb,Y
oasysdb,OasysDB,OasysDB is a toy key-value DBMS based on Sled that supports vector search operations.,"Key/Value,Vector",HTTP / REST,Shared-Everything,https://www.oasysai.com/,https://github.com/oasysai/oasysdb,,Edwin Kys,US,2023,,"Hobby,Open Source",Rust,,Sled,Apache v2,Linux,"Key-value,Vector",Y,oasysai/oasysdb,oasysai,oasysdb,Y
objectbox,ObjectBox,"ObjectBox is an object-oriented DBMS library built for IoT, mobile, and embedded devices. It is also the very first vector database that runs on these devices. ObjectBox supports several programming languages (Java, C/C++, Go, Swift, Kotlin, and Python) and runs on multiple platforms (Linux, QNX, Windows, Mac/iOS, Android, and any POSIX system). ObjectBox stores objects directly, instead of storing data in relational DBs and accessing them through an ORM layer. It has full ACID compatibility, provides transaction semantics, and uses MVCC for concurrency control.",Object-Oriented,Custom API,Embedded,https://objectbox.io/,https://github.com/objectbox/,https://docs.objectbox.io/,ObjectBox Limited,DE,2016,,"Commercial,Open Source","C,C++,Go,Java,Python,Swift","C,C++,Dart,Go,Java,Kotlin,Python,Swift",LMDB,Apache v2,"All OS with Java VM,Android,iOS,Linux,OS X,Windows",Object oriented,Y,objectbox/,objectbox,,Y
oceanbase,OceanBase,OceanBase is an open source distributed relational DBMS which is fully compatible with MySQL. It handles HTAP mixed loads with one set of computing engines at the same time.,Relational,SQL,Shared-Nothing,https://oceanbase.com/,https://github.com/oceanbase/oceanbase,https://www.oceanbase.com/en/docs/,OceanBase,CN,2010,,"Commercial,Open Source",C++,"C,C#,C++,Delphi,Go,Java,JavaScript,Perl,PHP,Python,Ruby",,Mulan PubL v2,"Hosted,Linux",Relational,Y,oceanbase/oceanbase,oceanbase,oceanbase,Y
ocelot,Ocelot,Ocelot was a short-lived relational DBMS project from Canada. It was written for Windows using mostly x86 assembly.,Relational,SQL,,http://ocelot.ca/source.htm,https://sourceforge.net/projects/ocelot/,,Ocelot Computer Services Inc.,CA,2001,2003,Open Source,Assembly,,,"GPL v2,Mozilla Public License",Windows,Relational,,,,,Y
odaba,ODABA,ODABA is an object-oriented DBMS that supports a persistent programming language.,Object-Oriented,"Custom API,HTTP / REST",,http://www.odaba.com,https://sourceforge.net/projects/odaba/,http://www.odaba.com/content/documentation/,RUN Software,DE,1994,,"Commercial,Open Source",C++,"C#,C++",,GPL v2,,Object oriented,,,,,Y
olegdb,OlegDB,"OlegDB is a free, open-source, NoSQL (Key-Value) DBMS. It was primarily written in C, with a Go frontend layer, and is compatible with any POSIX compliant operating system. The user communicates with OlegDB using a simple REST API. They are also encouraged to adapt the system to their needs through several well-documented toggleable parameters.",Key/Value,HTTP / REST,Shared-Everything,http://olegdb.org,https://github.com/infoforcefeed/OlegDB,http://olegdb.org/docs/0.1.6/en/documentation.html,"Quinlan Pfiffer, Kyle Terry",US,2014,,"Commercial,Open Source","C,Go",,,MIT,"AIX,BSD,Linux,OS X,Solaris,UnixWare,VxWorks",Key-value,Y,infoforcefeed/OlegDB,infoforcefeed,OlegDB,Y
opengemini,openGemini,openGemini is an open-source time-series database management system that is compatible with the InfluxDB wire protocol and query language.,Relational,SQL,Shared-Nothing,https://opengemini.org/,https://github.com/openGemini/openGemini,https://docs.opengemini.org/,Huawei,CN,2022,,Open Source,Go,"C,C++,Java,JavaScript",,Apache v2,Linux,Relational,Y,openGemini/openGemini,openGemini,openGemini,Y
openmldb,OpenMLDB,OpenMLDB is a relational DBMS that purports to better support ML applications.,Relational,"SQL,HTTP / REST",,https://github.com/4paradigm/OpenMLDB,https://github.com/4paradigm/OpenMLDB,,4Paradigm,CN,2017,,Open Source,C++,,,Apache v2,Linux,Relational,Y,4paradigm/OpenMLDB,4paradigm,OpenMLDB,Y
openqm,OpenQM,OpenQM is an open-source multi-value database management system.,Multi-Value,,,http://www.openqm.com/,,http://downloads.openqm.com/help/index.html,Ladybridge Systems,GB,1993,,"Commercial,Open Source",,,,"GPL v2,Proprietary","AIX,BSD,Linux,Solaris,Windows",Multivalue,,,,,Y
opentsdb,OpenTSDB,"OpenTSDB is a distributed Time Series Database (TSDB) based on,HBase,. OpenTSDB was written by Benoit Sigoure to collect, store and display metrics of various computer systems (network gears, operating systems, applications), and generate readable data graphs easily. The developer claims that OpenTSDB is the first open-source monitoring system built on an open-source distributed database. OpenTSDB is written in Java.",Key/Value,"Custom API,HTTP / REST,Command-line / Shell",Shared-Disk,http://opentsdb.net/,https://github.com/OpenTSDB/opentsdb,http://opentsdb.net/docs/build/html/index.html,,US,2010,,Open Source,Java,,HBase,LGPL v2,All OS with Java VM,Key-value,Y,OpenTSDB/opentsdb,OpenTSDB,opentsdb,Y
opteryx,Opteryx,Opteryx is a embedded SQL query engine written in Python for processing data files.,Object-Relational,"SQL,Command-line / Shell",Embedded,https://opteryx.dev/,https://github.com/mabel-dev/opteryx,https://opteryx.dev/latest/get-started/overview/,Justin Joyce,GB,2021,,"Hobby,Open Source",Python,Python,,Apache v2,,"Object oriented,Relational",Y,mabel-dev/opteryx,mabel-dev,opteryx,Y
oracle-nosql,Oracle NoSQL,Oracle NoSQL Database (OND) is a distributed key-value DBMS. It use Berkeley DB (Java Edition) as its underlying storage manager on each node.,Key/Value,Custom API,Shared-Nothing,http://www.oracle.com/technetwork/products/nosqldb/,,,Oracle,US,2011,,"Commercial,Open Source",Java,,Berkeley DB,"Apache v2,Proprietary",,Key-value,,,,,Y
orbitdb,OrbitDB,"Conflict-free Replicated Data Types (CRDTs) are data structures whose network replicas can be updated concurrently and independently without replicas coordinating, with the guarantee that all inconsistencies can be resolved. OrbitDB utilizes CRDTs for conflict-free database merges and a decentralized peer-to-peer protocol for storage.","Key/Value,Document / XML",Custom API,Shared-Nothing,https://orbitdb.org/,https://github.com/orbitdb/orbit-db,https://github.com/orbitdb/field-manual,Haja Networks,DE,2015,,Open Source,JavaScript,JavaScript,,MIT,"Linux,OS X","Key-value,Document",Y,orbitdb/orbit-db,orbitdb,orbit-db,Y
orientdb,OrientDB,"OrientDB is a multi-model NoSQL DBMS that supports of graph, documents, key-value, and object-oriented storage. Instead of just implementing another layer with an API, OrientDB integrates those models. It also supports both disk-oriented and in-memory storages. Moreover, OrientDB supports SQL syntax with few differences from standard SQL and extends SQL syntax to support graph concepts. It is also an ACID compliant DBMS and able to handle transactional workloads. OrientDB supports a multi-master distributed architecture.","Key/Value,Document / XML,Graph,Object-Oriented","SQL,Stored Procedures,GraphQL,Gremlin,HTTP / REST",Shared-Nothing,https://orientdb.org/,https://github.com/orientechnologies/orientdb,https://orientdb.org/docs/,OrientDB LTD,GB,2010,,"Commercial,Open Source",Java,"C,C#,C++,Clojure,Elixir,Go,Groovy,Java,JavaScript,Perl,PHP,Python,Ruby,Scala",,Apache v2,All OS with Java VM,"Key-value,Document,Graph,Object oriented",Y,orientechnologies/orientdb,orientechnologies,orientdb,Y
origodb,OrigoDB,"OrigoDB is an in-memory event-sourced database engine for NET/Mono environments. It allows users to design custom data models to fit their needs. It is not optimized for performance, and prioritizes simplified commands over performance in some cases.","Relational,Key/Value,Document / XML,Graph,Object-Oriented",Custom API,Shared-Nothing,http://origodb.com/,https://github.com/DevrexLabs/OrigoDB,http://origodb.com/docs/,Devrex Labs,SE,2011,2016,"Commercial,Open Source",C#,,MySQL,MIT,Windows,"Relational,Key-value,Document,Graph,Object oriented",Y,DevrexLabs/OrigoDB,DevrexLabs,OrigoDB,Y
orioledb,OrioleDB,OrioleDB is a fork of PostgreSQL that provides a new storage engine.,Object-Relational,SQL,Shared-Everything,https://orioledb.com/,https://github.com/orioledb/orioledb,https://github.com/orioledb/orioledb/tree/main/doc,OrioleDB,BY,2021,,"Commercial,Open Source",C,,,PostgreSQL License,Linux,"Object oriented,Relational",Y,orioledb/orioledb,orioledb,orioledb,Y
oxia,Oxia,Oxia is a distributed metadata (key/value) database management system.,Key/Value,Custom API,Shared-Nothing,https://github.com/streamnative/oxia,https://github.com/streamnative/oxia,https://github.com/streamnative/oxia/tree/main/docs,StreamNative,US,2021,,"Commercial,Open Source",Go,,,Apache v2,,Key-value,Y,streamnative/oxia,streamnative,oxia,Y
pail,Pail,Pail is a sharded key-value store that runs on top of IPFS.,Key/Value,Custom API,,https://github.com/web3-storage/pail,https://github.com/web3-storage/pail,https://github.com/w3s-project/specs/blob/4163e28d7e6a7c44cff68db9d9bffb9b37707dc6/pail.md,Protocol Labs,GB,2022,,Open Source,JavaScript,,,"Apache v2,MIT",,Key-value,Y,web3-storage/pail,web3-storage,pail,Y
paldb,PalDB,PalDB is an embedded key/value store DBMS written in Java that supports write-only semantics.,Key/Value,Custom API,,https://github.com/linkedin/PalDB,https://github.com/linkedin/PalDB,,LinkedIn,US,2015,2016,Open Source,Java,,,Apache v2,,Key-value,Y,linkedin/PalDB,linkedin,PalDB,Y
paper,Paper,Paper is an embedded object-oriented storage engine on Android with automatic schema migration support. It is designed for Java and Kotlin to quickly manage object storage without using SQL-like queries.,"Key/Value,Object-Oriented",Custom API,Embedded,https://github.com/pilgr/Paper,https://github.com/pilgr/Paper,,Aleksey Masny,SE,2015,,Open Source,Java,"Java,Kotlin",,Apache v2,Android,"Key-value,Object oriented",Y,pilgr/Paper,pilgr,Paper,Y
paradedb,ParadeDB,"ParadeDB is analytical DBMS built on top of PostgreSQL. It installs extensions into PostgreSQL that add analytical queries via DataFusion, full-text search via Tantivy, and similarity search via,pgvector,.",Object-Relational,SQL,Shared-Everything,https://www.paradedb.com/,https://github.com/paradedb/paradedb,https://docs.paradedb.com/,"Retake, Inc.",US,2023,,"Commercial,Open Source",Rust,,"DataFusion,Tantivy",AGPL v3,Linux,"Object oriented,Relational",Y,paradedb/paradedb,paradedb,paradedb,Y
pearldb,PearlDB,PearlDB is a lightweight durable HTTP key-value DBMS written in C.,Key/Value,HTTP / REST,,https://github.com/willemt/pearldb/,https://github.com/willemt/pearldb/,,Willem Thiart,NZ,2015,2018,"Hobby,Open Source",C,,LMDB,BSD,,Key-value,Y,willemt/pearldb,willemt,pearldb,Y
pebble,Pebble,"Pebble is a key-value store written in Go and developed by Cockroach Labs. It is based on an unfinished,Go port of LevelDB,. Furthermore, additional features and optimizations are inspired by parts of,RocksDB,. Pebble is specifically created to suit the needs of,CockroachDB,- some features from RocksDB are modified, while others are completely left out. A few examples of modified features include using offsets instead of pointers in the skiplist, and changing the rate of flushes to match user writes.",Key/Value,Custom API,Embedded,https://github.com/petermattis/pebble,https://github.com/petermattis/pebble,https://github.com/petermattis/pebble/tree/master/docs,Cockroach Labs,US,2018,,Open Source,Go,Go,,BSD,,Key-value,Y,petermattis/pebble,petermattis,pebble,Y
percona-server,Percona Server,Percona Server is a branch of MySQL enhanced with additional features.,Relational,SQL,Shared-Everything,http://www.percona.com/software/percona-server,https://github.com/percona/percona-server,,Percona,US,2006,,"Commercial,Open Source",,,,,,Relational,Y,percona/percona-server,percona,percona-server,Y
perst,Perst,"Perst is an open source, dual license, object-oriented embedded database system (ODBMS). It is available in one edition developed as an all-Java embedded database, and another implemented in C# (for Microsoft .NET Framework applications). Users can redistribute and/or modify Perst under the terms of the GNU General Public License version 3 (or earlier versions) as published by the Free Software Foundation. For projects that don’t fit under the GPL, a commercial license for Perst may be purchased.",Object-Oriented,,Embedded,http://www.mcobject.com/perst,https://www.mcobject.com/perst/,,Konstantin Knizhnik,RU,2003,,Open Source,Java,"C#,C++,Java",,"GPL v3,Proprietary","Android,Windows",Object oriented,,,,,Y
phoenix,Phoenix,Phoenix is a middleware layer that provides support for SQL-based OLTP workloads on top of HBase.,Relational,SQL,Shared-Disk,https://phoenix.apache.org/,https://git-wip-us.apache.org/repos/asf?p=phoenix.git,https://phoenix.apache.org/Phoenix-in-15-minutes-or-less.html,Salesforce,US,2014,,Open Source,Java,,HBase,Apache v2,,Relational,,,,,Y
photondb,PhotonDB,PhotonDB is an experimental key/value DBMS written in Rust.,Key/Value,,,https://photondb.io/,https://github.com/photondb/photondb,,Huachao Huang,CN,2022,,"Hobby,Open Source",Rust,Rust,,Apache v2,,Key-value,Y,photondb/photondb,photondb,photondb,Y
pickledb,pickleDB,pickleDB is a lightweight key-value DBMS written in Python. It writes data formatted as plain text JSON to a local file.,Document / XML,Custom API,Embedded,https://patx.github.io/pickledb/,https://github.com/patx/pickledb,https://pythonhosted.org/pickleDB/commands.html,Harrison Erd,US,2011,,"Hobby,Open Source",Python,Python,,BSD,,Document,Y,patx/pickledb,patx,pickledb,Y
picodb,PicoDB,"PicoDB is an in-memory, document-oriented (JSON) DBMS that runs in Node.js and browsers. It supports a custom API inspired by MongoDB.",Document / XML,,Embedded,https://github.com/jclo/picodb,https://github.com/jclo/picodb,,jclo,FR,2016,,Open Source,JavaScript,,,MIT,,Document,Y,jclo/picodb,jclo,picodb,Y
picosql,picoSQL,"picoSQL is a disk-oriented, relational DBMS that supports SQL.",Relational,SQL,Shared-Everything,http://www.picosoft.it/picosql/,http://www.picosoft.it/picosql/downloads.html,http://www.picosoft.it/picosql/doc/index.html,picoSoft,IT,1995,2006,"Commercial,Open Source",,,,GPL v2,"AIX,HP-UX,Linux",Relational,,,,,Y
pika,Pika,Pika is a C++ clone of Redis that uses RocksDB as its storage backend.,Key/Value,Custom API,Shared-Everything,https://github.com/Qihoo360/pika,https://github.com/Qihoo360/pika,https://github.com/Qihoo360/pika/wiki,Qihoo,CN,2014,,Open Source,C++,,RocksDB,MIT,,Key-value,Y,Qihoo360/pika,Qihoo360,pika,Y
piladb,piladb,piladb is a lightweight RESTful database engine based on stack data structures.,Object-Oriented,HTTP / REST,,https://www.piladb.org/,https://github.com/fern4lvarez/piladb,https://docs.piladb.org/,Fernando Álvarez,ES,2015,,Open Source,Go,,,MIT,,Object oriented,Y,fern4lvarez/piladb,fern4lvarez,piladb,Y
pilosa,Pilosa,Pilosa is a distributed DBMS that only supports bitmap indexes.,Vector,"Custom API,HTTP / REST",Shared-Everything,https://www.pilosa.com/,https://github.com/pilosa/pilosa,https://www.pilosa.com/docs/,Pilosa,US,2017,,"Commercial,Open Source",Go,"Go,Java,Python",,Apache v2,,Vector,Y,pilosa/pilosa,pilosa,pilosa,Y
